"","name","sex","event","equipment","age","age_class","division","bodyweight_kg","weight_class_kg","best3squat_kg","best3bench_kg","best3deadlift_kg","place","date","federation","meet_name"
"167","Edward Bontekoning","M","SBD","Single-ply",30.5,"24-34","Open",102.3,"110",280,155,270,"22","2003-11-04","IPF","Men's World Powerlifting Championships"
"168","Takayuki Arakawa","M","SBD","Single-ply",31,"24-34","Open",93.1,"100",307.5,230,285,"8","2009-11-02","IPF","World Powerlifting Championships"
"169","Asbjørn Randen","M","SBD","Single-ply",29.5,"24-34","Open",121.95,"125",330,230,325,"10","2003-11-04","IPF","Men's World Powerlifting Championships"
"170","Arvind Sharma","M","SBD","Single-ply",20.5,"20-23","Juniors",118.5,"125",285,165,300,"8","2001-09-11","IPF","World Juniors Powerlifting Championships"
"171","Aleksandrs Grigorjevs","M","SBD","Single-ply",21,"20-23","Open",108.9,"110",370,242.5,310,"DD","2006-11-05","IPF","World Powerlifting Championships"
"172","Yusuke Satake","M","SBD","Single-ply",18.5,"18-19","Juniors",58.58,"59",240,150,220,"5","2015-08-31","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"173","Aygul Iskandarova","F","SBD","Single-ply",23.5,"24-34","Open",68.4,"75",125,70,140,"10","1998-05-23","IPF","Women's World Powerlifting Championships"
"174","Martin Lange","M","SBD","Single-ply",29,"24-34","Open",104.6,"105",367.5,257.5,315,"7","2016-11-14","IPF","World Open Championships"
"175","Tsung-Ting Hsieh","M","SBD","Single-ply",25.5,"24-34","Open",59.7,"60",270,192.5,265,"1","2008-10-30","IPF","World Powerlifting Championships"
"176","Miyabi Kikuchi","F","SBD","Raw",17.5,"18-19","Sub-Juniors",46.62,"47",92.5,57.5,115,"2","2016-06-19","IPF","World Classic Powerlifting Championships"
"177","Reagen Black","M","SBD","Single-ply",22.5,"20-23","Juniors",74.1,"75",237.5,145,252.5,"4","1985-09-20","IPF","World Juniors Powerlifting Championships"
"178","Kersin Bengel","F","SBD","Single-ply",27.5,"24-34","Open",61.3,"67.5",150,75,150,"11","1998-05-23","IPF","Women's World Powerlifting Championships"
"179","Kari Mattila","M","SBD","Raw",72.5,"70-74","Masters 4",82.81,"83",130,90,187.5,"2","2018-06-06","IPF","6th World Classic Championships"
"180","Eiko Uechi","F","SBD","Single-ply",42.5,"40-44","Masters 1",77.9,"67.5+",125,65,125,"7","1993-10-26","IPF","World Masters Powerlifting Championships"
"181","Xeniya Okatenko","F","SBD","Raw",21.5,"20-23","Juniors",102.4,"84+",187.5,117.5,172.5,"3","2016-06-19","IPF","World Classic Powerlifting Championships"
"182","Angela Desjarlais","F","SBD","Raw",39.5,"35-39","Masters 1",71.36,"72",140,92.5,137.5,"5","2016-06-19","IPF","World Classic Powerlifting Championships"
"183","Chih-Chen Hsu","M","SBD","Single-ply",26.5,"24-34","Open",52,"52",180,105,190,"5","1989-11-13","IPF","World Powerlifting Championships"
"184","Chun-Hsiung Hu","M","SBD","Single-ply",21.5,"20-23","Juniors",55.7,"56",255,110,250,"1","1996-08-07","IPF","World Juniors Powerlifting Championships"
"185","Yvelise Martin","F","SBD","Raw",31.5,"24-34","Open",46.6,"47",105,70,122.5,"5","2014-06-01","IPF","World Classic Powerlifting Championships"
"186","Ielja Strik","F","SBD","Single-ply",35.5,"35-39","Open",87.44,"90",250,170,230,"2","2009-11-02","IPF","World Powerlifting Championships"
"187","Anne Sigrid Stiklestad","F","SBD","Single-ply",26.5,"24-34","Open",74.8,"75",230,110,200,"4","2002-05-29","IPF","Women's World Powerlifting Championships"
"188","Max Lochschmidt","M","SBD","Single-ply",32.5,"24-34","Open",82.64,"83",305,212.5,300,"10","2016-11-14","IPF","World Open Championships"
"189","A-Yun Lin","F","SBD","Single-ply",45.5,"45-49","Open",54.6,"56",125,57.5,140,"7","1991-06-23","IPF","Women's World Powerlifting Championships"
"190","Natalia Polichuk","F","SBD","Single-ply",23.5,"24-34","Open",85.7,"90",225,135,200,"4","2002-05-29","IPF","Women's World Powerlifting Championships"
"191","Jennifer Harrington","F","SBD","Raw",20.5,"20-23","Juniors",61,"63",127.5,62.5,142.5,"11","2019-06-04","IPF","World Classic Powerlifting Championships"
"192","Alyssa Hitchcock","F","SBD","Single-ply",28.5,"24-34","Middle",62.55,"63",212.5,112.5,212.5,"6","2013-07-30","IPF","World Games"
"193","John Fraser","M","SBD","Raw",59.5,"55-59","Masters 3",90.62,"93",190,145,235,"1","2016-06-19","IPF","World Classic Powerlifting Championships"
"194","Tetyana Akhmamyetyeva","F","SBD","Single-ply",24.5,"24-34","Open",60,"60",220,125,200,"2","2010-11-07","IPF","World Powerlifting Championships"
"195","Stian Walgermo","M","SBD","Single-ply",20.5,"20-23","Juniors",99.7,"100",322.5,207.5,290,"5","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"196","Øyvind Bjørnsen","M","SBD","Single-ply",20.5,"20-23","Juniors",81,"82.5",280,172.5,255,"2","1991-09-05","IPF","World Juniors Powerlifting Championships"
"197","Inna Filimonova #1","F","SBD","Single-ply",27,"24-34","Open",55.8,"56",222.5,107.5,195,"1","2003-05-22","IPF","Women's World Powerlifting Championships"
"198","Kyoko Suzuki","F","SBD","Raw",38.5,"35-39","Open",64.9,"72",132.5,67.5,145,"11","2016-06-19","IPF","World Classic Powerlifting Championships"
"199","Marcel St. Laurent","M","SBD","Single-ply",43.5,"40-44","Masters 1",82.5,"82.5",272.5,172.5,260,"3","1986-10-03","IPF","World Masters Powerlifting Championships"
"200","Miia Grandas Liimatainen","F","SBD","Single-ply",27.5,"24-34","Open",51.4,"52",190,85,170,"5","2014-11-03","IPF","World Powerlifting Championships"
"201","Cheryl Anderson","F","SBD","Single-ply",31.5,"24-34","Open",47.7,"48",120,80,140,"7","2007-10-14","IPF","World Powerlifting Championships"
"202","Petri Leppäkangas","M","SBD","Single-ply",22.5,"20-23","Juniors",98.2,"100",305,212.5,312.5,"3","1997-09-12","IPF","World Juniors Powerlifting Championships"
"203","Toni Hollis","F","SBD","Single-ply",38.5,"35-39","Open",55.6,"56",145,87.5,155,"9","1993-11-27","IPF","World Powerlifting Championships"
"204","Arvo Reponen","M","SBD","Single-ply",60.5,"60-64","Masters 2",87.5,"90",210,162.5,200,"8","1999-10-19","IPF","World Masters Powerlifting Championships"
"205","Chris Caltabiano","M","SBD","Single-ply",22.5,"20-23","Juniors",110,"110",350,265,305,"3","2010-09-27","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"206","Wade Hooper","M","SBD","Single-ply",34.5,"24-34","Open",75,"75",347.5,225,250,"1","2006-11-05","IPF","World Powerlifting Championships"
"207","Ryan Stills","M","SBD","Raw",42,"40-44","Masters 1",118.7,"120",315,205,330,"1","2019-06-04","IPF","World Classic Powerlifting Championships"
"208","James Moir","M","SBD","Single-ply",41,"40-44","Open",67.4,"67.5",242.5,165,250,"2","1977-11-03","IPF","Men's World Powerlifting Championships"
"209","Geoff Poole","M","SBD","Single-ply",41.5,"40-44","Masters 1",108.8,"110",310,155,275,"4","1999-10-19","IPF","World Masters Powerlifting Championships"
"210","Robert King","M","SBD","Single-ply",42.5,"40-44","Masters 1",82.2,"83",237.5,162.5,245,"6","2017-10-01","IPF","World Masters Powerlifting Championships"
"211","Daniel Worsley","M","SBD","Raw",22.5,"20-23","Juniors",81.66,"83",245,160,270,"6","2016-06-19","IPF","World Classic Powerlifting Championships"
"212","Hana Takáčová","F","SBD","Single-ply",42.5,"40-44","Masters 1",58.8,"67.5",160,80,150,"3","1997-10-14","IPF","World Masters Powerlifting Championships"
"213","Nicola Degiampietro","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",73.7,"74",245,140,252.5,"4","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"214","Rostislav Cejnek","M","SBD","Single-ply",51.5,"50-54","Masters 2",102.67,"105",225,230,230,"8","2014-09-21","IPF","World Masters Powerlifting Championships"
"215","Júlio Chavez #1","M","SBD","Single-ply",50,"50-54","Masters 2",88.6,"90",200,110,240,"9","2002-10-08","IPF","World Masters Powerlifting Championships"
"216","Bill Helmich","M","SBD","Single-ply",75.5,"75-79","Masters 4",103.3,"105",100,120,180,"1","2018-10-02","IPF","World Masters Powerlifting Championships"
"217","Iveta Jurčíková","F","SBD","Single-ply",19.5,"20-23","Juniors",62.52,"63",130,100,142.5,"6","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"218","Yukako Fukushima","F","SBD","Single-ply",34.5,"24-34","Light",47.4,"52",157.5,125,157.5,"4","2005-07-14","IPF","World Games"
"219","Murphy Maart","M","SBD","Single-ply",39.5,"35-39","Masters 1",102.4,"110",220,165,290,"6","1996-10-07","IPF","World Masters Powerlifting Championships"
"220","Innès Allouache","F","SBD","Raw",19.5,"20-23","Open",82.31,"84",172.5,85,190,"1","2019-07-22","IPF","University Powerlifting Cup"
"221","Andy v.d. Lek","M","SBD","Single-ply",21.5,"20-23","Juniors",67.5,"67.5",200,125,230,"12","1988-09-07","IPF","World Juniors Powerlifting Championships"
"222","Aleksander Ilin","M","SBD","Raw",50.5,"50-54","Masters 2",98.79,"105",225,157.5,270,"4","2015-06-05","IPF","World Classic Powerlifting Championships"
"223","Vese Paraschkevov","M","SBD","Single-ply",24.5,"24-34","Open",124.7,"125",355,202.5,347.5,"8","2002-11-13","IPF","Men's World Powerlifting Championships"
"224","Anne Mari Clausen","F","SBD","Raw",74.5,"70-74","Masters 4",79.65,"84",77.5,50,95,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"225","David Gonzales","M","SBD","Single-ply",50.5,"50-54","Masters 2",119.78,"120",315,222.5,282.5,"2","2012-10-02","IPF","World Masters Powerlifting Championships"
"226","Bill Helmich","M","SBD","Single-ply",62.5,"60-64","Masters 3",97.65,"100",202.5,165,260,"1","2005-10-04","IPF","World Masters Powerlifting Championships"
"227","Jo Whiteley","F","SBD","Raw",45,"45-49","Masters 1",110.58,"84+",125,75,160,"5","2015-06-05","IPF","World Classic Powerlifting Championships"
"228","Setsuko Takahashi","F","SBD","Single-ply",50.5,"50-54","Masters 1",52.7,"67.5",105,55,105,"12","2000-10-17","IPF","World Masters Powerlifting Championships"
"229","Alena Zubova","F","SBD","Raw",20.5,"20-23","Open",56.12,"57",135,77.5,150,"1","2018-07-09","IPF","3rd World University Powerlifting Cup"
"230","Phillip Trujillo","M","SBD","Single-ply",28,"24-34","Open",59.8,"60",200,157.5,207.5,"2","1977-11-03","IPF","Men's World Powerlifting Championships"
"231","Melanie Ziffle","F","SBD","Single-ply",30.5,"24-34","Open",56.76,"57",167.5,100,170,"6","2014-11-03","IPF","World Powerlifting Championships"
"232","Mike Danforth","M","SBD","Single-ply",28,"24-34","Open",82.3,"82.5",282.5,195,290,"6","1997-12-13","IPF","Men's World Powerlifting Championships"
"233","Svetlana Saburova","F","SBD","Single-ply",16.5,"16-17","Sub-Juniors",72.23,"84",165,92.5,150,"3","2017-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"234","Viktor Baranov","M","SBD","Single-ply",29.5,"24-34","Open",71,"75",300,170,300,"2","1997-12-13","IPF","Men's World Powerlifting Championships"
"235","Tatiana Taktamisheva","F","SBD","Single-ply",17.5,"18-19","Sub-Juniors",42.23,"43",125,62.5,130,"1","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"236","Jerry Botha","M","SBD","Raw",44.5,"40-44","Masters 1",90.75,"93",182.5,122.5,235,"11","2019-06-04","IPF","World Classic Powerlifting Championships"
"237","T. Molly","F","SBD","Single-ply",28.5,"24-34","Open",51.9,"52",150,65,160,"7","1997-06-18","IPF","Women's World Powerlifting Championships"
"238","Andrew Cameron","M","SBD","Single-ply",21.5,"20-23","Juniors",113.86,"120",330,232.5,287.5,"6","2011-08-30","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"239","Janice Francis","F","SBD","Raw",61.5,"60-64","Masters 3",81.99,"84",107.5,67.5,130,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"240","Marie Soffe","F","SBD","Single-ply",47.5,"45-49","Masters 1",66.4,"67.5",127.5,82.5,177.5,"4","2008-09-30","IPF","World Masters Powerlifting Championships"
"241","Maxim Guryanov","M","SBD","Single-ply",20.5,"20-23","Juniors",123.6,"125",350,200,327.5,"2","1996-08-07","IPF","World Juniors Powerlifting Championships"
"242","Thomas Kalen","M","SBD","Raw",72.5,"70-74","Masters 4",86.22,"93",157.5,97.5,170,"3","2016-06-19","IPF","World Classic Powerlifting Championships"
"243","Naho Machida","F","SBD","Single-ply",22.5,"20-23","Juniors",51.7,"52",125,60,150,"1","2006-09-05","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"244","Maria Pia Moscianese","F","SBD","Single-ply",37.5,"35-39","Open",65.8,"67.5",140,75,180,"11","2001-05-24","IPF","Women's World Powerlifting Championships"
"245","Tina Robinson","F","SBD","Raw",47.5,"45-49","Masters 1",85.74,"84+",140,107.5,167.5,"1","2015-06-05","IPF","World Classic Powerlifting Championships"
"246","Huai-Chin Liang","M","SBD","Single-ply",25.5,"24-34","Open",110.05,"125",315,207.5,60,"11","1993-11-27","IPF","World Powerlifting Championships"
"247","Molly Gray","F","SBD","Raw",21.5,"20-23","Open",55.75,"57",102.5,65,147.5,"4","2016-07-11","IPF","World University Powerlifting Cup"
"248","Yura Enomoto","F","SBD","Raw",16.5,"16-17","Sub-Juniors",51.3,"52",60,40,90,"7","2019-06-04","IPF","World Classic Powerlifting Championships"
"249","Hsin Kuan Yi","M","SBD","Single-ply",24.5,"24-34","Open",66.5,"67.5",210,127.5,285,"11","2007-10-14","IPF","World Powerlifting Championships"
"250","Eva Buxbom","F","SBD","Single-ply",40.5,"40-44","Masters 1",55.51,"56",145,75,162.5,"1","2010-09-27","IPF","World Masters Championships"
"251","Sandeep Sawant","M","SBD","Single-ply",25.5,"24-34","Open",59.8,"60",220,115,275,"4","1992-11-19","IPF","World Men's Powerlifting Championship"
"252","Dmytro Semenenko","M","SBD","Single-ply",20.5,"20-23","Juniors",89.4,"90",360,207.5,310,"1","2009-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"253","Kimiko Sumiya","F","SBD","Single-ply",41.5,"40-44","Masters 1",47.2,"52",97.5,52.5,125,"4","1996-10-07","IPF","World Masters Powerlifting Championships"
"254","Anton Mihok","M","SBD","Single-ply",34.5,"24-34","Open",59.9,"60",205,122.5,245,"8","1992-11-19","IPF","World Men's Powerlifting Championship"
"255","Taina Hakala-Rajala","F","SBD","Single-ply",30.5,"24-34","Open",101.7,"90+",212.5,122.5,215,"2","1991-06-23","IPF","Women's World Powerlifting Championships"
"256","Shinnosuke Tomita","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",82.74,"83",285,200,235,"1","2019-08-26","IPF","World Juniors & Sub-Juniors Championships"
"257","Gage Soehner","M","SBD","Single-ply",26,"24-34","Open",119.72,"120",350,242.5,305,"11","2011-11-08","IPF","World Powerlifting Championships"
"258","Fernand Laplace","M","SBD","Single-ply",46.5,"45-49","Masters 1",74.3,"75",180,97.5,180,"5","1984-12-13","IPF","World Masters Powerlifting Championships"
"259","Kenia Monserrate","F","SBD","Raw",25.5,"24-34","Open",55.43,"57",160,95,177.5,"3","2017-06-14","IPF","World Classic Powerlifting Championships"
"260","Derek Gove","M","SBD","Raw",26,"24-34","Open",82.55,"83",257.5,152.5,290,"3","2014-06-01","IPF","World Classic Powerlifting Championships"
"261","Amy Whittaker","F","SBD","Raw",21.5,"20-23","Open",57.97,"63",97.5,55,105,"17","2019-07-22","IPF","University Powerlifting Cup"
"262","Stefan Jamroz","M","SBD","Single-ply",21.5,"20-23","Juniors",90,"90",270,207.5,270,"4","2002-09-10","IPF","World Juniors Powerlifting Championships"
"263","Nobuyo Kobayashi","F","SBD","Single-ply",17,"16-17","Sub-Juniors",56.2,"57",122.5,65,95,"5","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"264","Samantha Thorogood","F","SBD","Single-ply",41.5,"40-44","Masters 1",54.11,"57",102.5,50,127.5,"3","2013-09-24","IPF","World Masters Powerlifting Championships"
"265","Gerard Dufour","M","SBD","Single-ply",50,"50-54","Masters 2",67.1,"67.5",180,112.5,217.5,"2","1999-10-19","IPF","World Masters Powerlifting Championships"
"266","Valentina Barbieri","F","SBD","Single-ply",27.5,"24-34","Open",81.3,"84",245,117.5,217.5,"5","2017-11-13","IPF","World Powerlifting Championships"
"267","Joy Burt","F","SBD","Single-ply",35.5,"35-39","Open",55.5,"56",172.5,90,207.5,"1","1992-05-31","IPF","Women's World Powerlifting Championships"
"268","Khrys Kyriacou","F","SBD","Raw",48.5,"45-49","Masters 1",61.62,"63",135,85,145,"1","2016-06-19","IPF","World Classic Powerlifting Championships"
"269","Viljo Karvinen","M","SBD","Single-ply",44.5,"40-44","Open",67.5,"67.5",247.5,140,265,"4","1981-11-05","IPF","Men's World Powerlifting Championships"
"270","Yuki Fukushima","M","SBD","Single-ply",18.5,"18-19","Juniors",76.88,"82.5",230,190,210,"9","2005-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"271","Peter Lüftinger","M","SBD","Single-ply",21.5,"20-23","Juniors",81.2,"82.5",250,182.5,270,"7","1994-06-18","IPF","World Juniors Powerlifting Championships"
"272","Alena Záhumenská","F","SBD","Single-ply",35.5,"35-39","Open",50.7,"52",117.5,67.5,167.5,"4","1994-05-25","IPF","Women's World Powerlifting Championships"
"273","Micheal Seay","M","SBD","Raw",22.5,"20-23","Juniors",73.55,"74",267.5,187.5,277.5,"1","2019-06-04","IPF","World Classic Powerlifting Championships"
"274","Charles McDonald","M","SBD","Single-ply",15.5,"16-17","Sub-Juniors",72.5,"75",272.5,130,252.5,"3","2010-09-27","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"275","Nada Hassan","F","SBD","Raw",21.5,"20-23","Juniors",71.9,"72",160,118,195,"3","2019-06-04","IPF","World Classic Powerlifting Championships"
"276","Marina Kudinova","F","SBD","Single-ply",21.5,"20-23","Juniors",67.1,"67.5",232.5,130,217.5,"1","1999-10-05","IPF","World Juniors Powerlifting Championships"
"277","Veronica Opdal","F","SBD","Single-ply",27.5,"24-34","Heavy",69.15,"72",190,110,170,"8","2013-07-30","IPF","World Games"
"278","Tuomas Puhakka","M","SBD","Single-ply",22.5,"20-23","Juniors",104.35,"105",285,207.5,300,"4","2018-09-03","IPF","World Juniors & Sub-Juniors Championships"
"279","Kyohei Yokoyama","M","SBD","Single-ply",21,"20-23","Juniors",103.84,"105",270,217.5,242.5,"6","2015-08-31","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"280","Anthony Harris #1","M","SBD","Single-ply",42.5,"40-44","Open",108.3,"110",365,217.5,330,"6","2007-10-14","IPF","World Powerlifting Championships"
"281","Myrtle Augee","F","SBD","Single-ply",22.5,"20-23","Open",93.3,"90+",212.5,135,210,"1","1988-05-06","IPF","Women's World Powerlifting Championships"
"282","David Carter #2","M","SBD","Single-ply",29.5,"24-34","Open",81.45,"82.5",292.5,175,340,"3","1993-11-27","IPF","World Powerlifting Championships"
"283","Hannu Saarelainen","M","SBD","Single-ply",41.5,"40-44","Masters 1",110,"110",295,207.5,285,"2","1986-10-03","IPF","World Masters Powerlifting Championships"
"284","Maaike de Vries","F","SBD","Raw",22.5,"20-23","Juniors",70.79,"72",142.5,82.5,142.5,"7","2017-06-14","IPF","World Classic Powerlifting Championships"
"285","Rainer Schötz","M","SBD","Single-ply",66.5,"65-69","Masters 3",80.59,"82.5",215,145,225,"3","2010-09-27","IPF","World Masters Championships"
"286","Peter Ovsonka","M","SBD","Single-ply",29.5,"24-34","Open",104.45,"105",370,220,305,"8","2012-11-10","IPF","World Powerlifting Championships"
"287","Dominique Mouchet","M","SBD","Single-ply",60,"60-64","Masters 3",82.24,"83",200,95,180,"6","2015-09-28","IPF","World Masters Powerlifting Championships"
"288","M.L. Patkar","M","SBD","Single-ply",49.5,"45-49","Masters 2",65,"67.5",140,80,140,"5","1994-10-19","IPF","World Masters Powerlifting Championships"
"289","Aya Fukumura","F","SBD","Raw",31.5,"24-34","Open",46.61,"47",102.5,70,135,"9","2018-06-06","IPF","6th World Classic Championships"
"290","Marta Kleszczynska","F","SBD","Single-ply",18.5,"18-19","Juniors",51,"52",125,87.5,130,"4","1998-10-21","IPF","World Juniors Powerlifting Championships"
"291","Tina Carder","F","SBD","Single-ply",19.5,"20-23","Juniors",43.6,"44",120,72.5,125,"1","2004-08-09","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"292","Ben Langley","M","SBD","Raw",25.5,"24-34","Open",73.8,"74",245,152.5,272.5,"11","2019-06-04","IPF","World Classic Powerlifting Championships"
"293","Tatyana Puzanova","F","SBD","Single-ply",28.5,"24-34","Open",81.9,"82.5",255,155,207.5,"1","2003-05-22","IPF","Women's World Powerlifting Championships"
"294","Chih-Chiang Hsu","M","SBD","Single-ply",21.5,"20-23","Juniors",54.2,"56",200,115,215,"4","2001-09-11","IPF","World Juniors Powerlifting Championships"
"295","Niko Nurmi","M","SBD","Raw",18.5,"18-19","Juniors",104.75,"105",265,152.5,295,"4","2014-06-01","IPF","World Classic Powerlifting Championships"
"296","Mike Bridges","M","SBD","Single-ply",24,"24-34","Open",82.2,"82.5",365,240,340,"1","1981-11-05","IPF","Men's World Powerlifting Championships"
"297","Adolf Ditschmann","M","SBD","Single-ply",46.5,"45-49","Masters 1",100,"100",290,165,307.5,"5","1988-07-28","IPF","World Masters Powerlifting Championships"
"298","Raphael Boutin","M","SBD","Raw",17.5,"18-19","Sub-Juniors",65.15,"66",175,130,210,"4","2019-06-04","IPF","World Classic Powerlifting Championships"
"299","Oleksandr Rubets","M","SBD","Single-ply",21.5,"20-23","Open",102,"105",430,302.5,347.5,"1","2018-11-05","IPF","48th World Open Championships"
"300","Matthias Simpig","M","SBD","Single-ply",33.5,"24-34","Open",97.25,"100",300,185,280,"10","2006-11-05","IPF","World Powerlifting Championships"
"301","Martin Brown","M","SBD","Single-ply",43.5,"40-44","Masters 1",89.6,"90",240,150,290,"3","1995-10-03","IPF","World Masters Powerlifting Championships"
"302","Marie Tunroth","F","SBD","Single-ply",21.5,"20-23","Juniors",71.1,"72",220,127.5,205,"1","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"303","Bob van den Boogaard","M","SBD","Raw",23.5,"24-34","Open",92.7,"93",292.5,167.5,310,"12","2019-06-04","IPF","World Classic Powerlifting Championships"
"304","Dariusz Wszoła","M","SBD","Raw",37.5,"35-39","Open",58.58,"59",215,150,212.5,"3","2016-06-19","IPF","World Classic Powerlifting Championships"
"305","Grecia Torres","F","SBD","Raw",29.5,"24-34","Open",110.76,"84+",210,105,230,"4","2018-06-06","IPF","6th World Classic Championships"
"306","Pekka Anttila","M","SBD","Single-ply",39.5,"35-39","Masters 1",74.75,"75",283,160,260,"1","2005-10-04","IPF","World Masters Powerlifting Championships"
"307","John Rivas","M","SBD","Single-ply",22,"20-23","Juniors",102.41,"105",360,225,305,"4","2012-08-28","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"308","Andrzej Stanaszek","M","SBD","Raw",22.5,"20-23","Juniors",50.5,"52",240,162.5,135,"1","1994-06-18","IPF","World Juniors Powerlifting Championships"
"309","Sergio Devich","M","SBD","Single-ply",48,"45-49","Masters 1",119.6,"125",170,100,160,"6","1998-10-06","IPF","World Masters Powerlifting Championships"
"310","Evgeniy Vasyukov","M","SBD","Single-ply",17.5,"18-19","Sub-Juniors",76.6,"82.5",270,155,265,"1","2003-09-24","IPF","World Sub-Juniors Powerlifting Championships"
"311","Alfred Neumaier","M","SBD","Single-ply",60.5,"60-64","Masters 3",102,"105",185,190,230,"5","2014-09-21","IPF","World Masters Powerlifting Championships"
"312","Hilda Duran","F","SBD","Single-ply",26.5,"24-34","Open",58.4,"60",160,95,175,"5","2000-05-24","IPF","Women's World Powerlifting Championships"
"313","Wally Schmidt","M","SBD","Single-ply",40.5,"40-44","Masters 1",74,"75",240,160,255,"2","1999-10-19","IPF","World Masters Powerlifting Championships"
"314","Jeff Becker","M","SBD","Raw",53.5,"50-54","Masters 2",82.18,"83",230,145,265,"1","2017-06-14","IPF","World Classic Powerlifting Championships"
"315","Therese Jallais Marie","F","SBD","Single-ply",59.5,"55-59","Masters 3",49.22,"52",85,55,105,"2","2017-10-01","IPF","World Masters Powerlifting Championships"
"316","Christiane Hazzard","F","SBD","Raw",18.5,"18-19","Open",61.4,"63",140,95,155,"2","2018-07-09","IPF","3rd World University Powerlifting Cup"
"317","Alexander Hoffmann","M","SBD","Single-ply",24,"24-34","Heavy",121.85,"90+",385,215,320,"10","2005-07-14","IPF","World Games"
"318","Mykhaylo Artsymovych","M","SBD","Single-ply",22.5,"20-23","Juniors",98.8,"100",365,220,310,"2","2005-09-07","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"319","Fredrik Svensson","M","SBD","Single-ply",23.5,"24-34","Open",141,"125+",322.5,277.5,305,"11","2003-11-04","IPF","Men's World Powerlifting Championships"
"320","Tomi Muhonen","M","SBD","Raw",28.5,"24-34","Open",104.65,"105",290,197.5,300,"6","2012-06-12","IPF","World Classic Powerlifting Cup"
"321","Yuoshikasu Umeda","M","SBD","Single-ply",17.5,"18-19","Juniors",55.8,"56",177.5,105,180,"6","1993-10-29","IPF","World Juniors Powerlifting Championships"
"322","Hassan El Belghiti","M","SBD","Single-ply",42,"40-44","Light",65.62,"66",290,167.5,315,"2","2017-07-24","IPF","World Games"
"323","Geovanni De Visscher","M","SBD","Single-ply",20.5,"20-23","Juniors",71.9,"74",220,195,237.5,"8","2014-09-01","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"324","Sergiy Romanenko","M","SBD","Single-ply",32.5,"24-34","Open",90,"90",370,235,320,"3","2005-11-08","IPF","Men's World Powerlifting Championships"
"325","Hiroki Ikegami","M","SBD","Single-ply",22,"20-23","Juniors",58.52,"59",205,147.5,230,"4","2013-08-27","IPF","World Juniors & Sub-Juniors Championships"
"326","Chia-Lin Tsai","M","SBD","Single-ply",20.5,"20-23","Open",95.1,"100",250,152.5,250,"16","1997-12-13","IPF","Men's World Powerlifting Championships"
"327","Jennifer Busby","F","SBD","Single-ply",23.5,"24-34","Open",83.8,"90",175,87.5,180,"8","2001-05-24","IPF","Women's World Powerlifting Championships"
"328","Stuart Ogg","M","SBD","Single-ply",21.5,"20-23","Juniors",88.3,"90",260,145,282.5,"13","1999-10-05","IPF","World Juniors Powerlifting Championships"
"329","Craig McGuigan","M","SBD","Single-ply",18.5,"18-19","Juniors",67.5,"67.5",210,102.5,225,"4","1992-09-08","IPF","World Juniors Powerlifting Championships"
"330","Jules Pellegrino","M","SBD","Single-ply",56.5,"55-59","Masters 2",66.9,"67.5",177.5,127.5,182.5,"7","2000-10-17","IPF","World Masters Powerlifting Championships"
"331","Ihor Orobets","M","SBD","Single-ply",15.5,"16-17","Sub-Juniors",120.4,"120+",190,150,185,"5","2016-09-03","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
"332","Thomas Andersen","M","SBD","Single-ply",25.5,"24-34","Open",67.3,"67.5",247.5,165,225,"8","2005-11-08","IPF","Men's World Powerlifting Championships"
"333","Tapani Puhakka","M","SBD","Single-ply",66.5,"65-69","Masters 3",87.34,"93",105,120,105,"5","2011-09-26","IPF","World Masters Powerlifting Championships"
"334","Alice Hogg","F","SBD","Raw",21.5,"20-23","Open",55.74,"57",122.5,60,150,"3","2016-07-11","IPF","World University Powerlifting Cup"
"335","Adlet Anuarov","M","SBD","Single-ply",15.5,"16-17","Sub-Juniors",52.84,"53",185,110,167.5,"3","2015-08-31","IPF","World Sub-Juniors & Juniors Powerlifting Championships"
